,date,oil_price_close,usd_vnd_close,vnindex_close,fdi_inflow_quarterly,cpi_index_quarterly,gdp_growth_quarterly,retail_value_quarterly,unemployment_value_quarterly,gdp_growth_lag_1,gdp_growth_lag_4,fdi_inflow_lag_1,retail_value_qoq_change_lag_1,oil_price_in_vnd_lag_1
4,2016-01-01,35.24357141767229,21950.0,561.22,3015384615.3846154,2.348744900281285,6.596190883983808,105.9375,1.83825,6.875724788717909,7.098583823254311,3023140495.8677683,-0.005479452054794498,990303.7374714017
5,2016-04-01,47.06296867132187,21911.0,632.26,3105128205.1282053,2.561747079887635,6.658736245730763,106.9125,1.84475,6.596190883983808,7.024297478408843,3015384615.3846154,-0.02720385674931136,773596.3926179068
6,2016-07-01,46.95078104734421,21797.0,685.73,3194871794.871795,2.7747492594939853,6.721281607477717,107.8875,1.85125,6.658736245730763,6.950011133563375,3105128205.1282053,0.00920353982300881,1031196.7065573335
7,2016-10-01,51.07295095725138,22468.0,664.87,3284615384.6153846,2.987751439100335,6.783826969224672,108.8625,1.85775,6.721281607477717,6.875724788717909,3194871794.871795,0.009119607155384069,1023386.1744889617
8,2017-01-01,54.49645165474184,22435.0,722.31,3398461538.4615383,3.5129926988748963,6.743384192791266,111.75375,2.141375,6.783826969224672,6.596190883983808,3284615384.6153846,0.009037191518943333,1147507.062107524
9,2017-04-01,50.763968331473215,22338.0,776.47,3482820512.820513,3.5178354917024386,6.874588313325129,111.45125,1.963125,6.743384192791266,6.658736245730763,3398461538.4615383,0.026558732345849156,1222627.892874133
10,2017-07-01,52.21285726153661,22523.0,804.42,3567179487.179487,3.5226782845299813,7.005792433858991,111.14875,1.784875,6.874588313325129,6.721281607477717,3482820512.820513,-0.0027068442893414257,1133965.5245884487
11,2017-10-01,61.42714285472083,22343.0,984.24,3651538461.5384617,3.527521077357524,7.136996554392854,110.84625,1.606625,7.005792433858991,6.783826969224672,3567179487.179487,-0.002714191182243364,1175990.184101589
12,2018-01-01,67.22672102881259,22759.0,1174.46,3817733990.1477833,3.8185547037653382,7.504660913731554,110.465,0.966,7.136996554392854,6.743384192791266,3651538461.5384617,-0.0027215780654303856,1372466.6528030275
13,2018-04-01,75.00734388828278,22906.0,960.78,3855911330.049261,3.6326036075393664,7.478224875062192,110.215,1.096,7.504660913731554,6.874588313325129,3817733990.1477833,-0.0034394487860436307,1530012.9438947458
14,2018-07-01,75.79301573738219,23292.5,1017.13,3894088669.950739,3.4466525113133937,7.451788836392828,109.965,1.226,7.478224875062192,7.005792433858991,3855911330.049261,-0.0022631602770107895,1718118.2191050053
15,2018-10-01,68.84603227887835,23194.0,892.54,3932266009.8522167,3.260701415087421,7.425352797723466,109.715,1.356,7.451788836392828,7.136996554392854,3894088669.950739,-0.002268293789411624,1765408.8190629748
16,2019-01-01,63.79327880359087,23198.0,980.76,4060225000.000001,2.636407165021488,9.044456260522812,111.265,1.52275,7.425352797723466,7.504660913731554,3932266009.8522167,-0.0022734506433865764,1596814.8726763045
17,2019-04-01,68.44158766004774,23275.0,949.94,4040075000.000001,2.742684838022156,7.920993887540977,109.815,1.6282500000000002,9.044456260522812,7.478224875062192,4060225000.000001,0.014127512190675873,1479876.481685701
18,2019-07-01,62.06328129768372,23207.0,996.56,4019925000.000001,2.8489625110228234,6.797531514559142,108.365,1.73375,7.920993887540977,7.451788836392828,4040075000.000001,-0.013031950748213728,1592977.9527876112
19,2019-10-01,62.39406198263168,23171.0,960.99,3999775000.000001,2.955240184023491,5.674069141577308,106.915,1.83925,6.797531514559142,7.425352797723466,4019925000.000001,-0.013204024951054105,1440302.5690753462
20,2020-01-01,50.47612910116872,23631.0,662.53,3963168756.945547,3.7407664234329223,2.9822949651132484,102.77625,1.99725,5.674069141577308,9.044456260522812,3999775000.000001,-0.01338070410187786,1445732.8101995587
21,2020-04-01,33.35523820301843,23264.0,825.11,3954389585.648516,3.394211718827748,2.904373794452896,103.11875,2.06775,2.9822949651132484,7.920993887540977,3963168756.945547,-0.038710657999345255,1192801.4067897182
22,2020-07-01,43.37406253814697,23181.0,905.21,3945610414.351485,3.0476570142225725,2.826452623792544,103.46125,2.13825,2.904373794452896,6.797531514559142,3954389585.648516,0.0033324819693265617,775976.2615550208
23,2020-10-01,45.22046887874603,23088.0,1103.87,3936831243.054453,2.7011023096173976,2.748531453132191,103.80375,2.20875,2.826452623792544,5.674069141577308,3945610414.351485,0.003321413418995167,1005454.143696785
24,2021-01-01,61.39606544619701,23074.0,1191.44,3715690909.090909,1.3390435662819065,0.3098140485775964,103.62125,2.70825,2.748531453132191,2.9822949651132484,3936831243.054453,0.0033104181517233933,1044050.1854724884
25,2021-04-01,69.08015865749783,23014.0,1408.55,3848563636.363637,1.6694915541636088,1.805757033846739,104.31374999999998,2.49275,0.3098140485775964,2.904373794452896,3715690909.090909,-0.0017581253085749982,1416652.8141055498
26,2021-07-01,73.18218719959259,22750.0,1342.06,3981436363.636364,1.9999395420453117,3.301700019115882,105.00625,2.27725,1.805757033846739,2.826452623792544,3848563636.363637,0.0066829921468809506,1589810.7713436552
27,2021-10-01,79.67953097820282,22765.0,1498.28,4114309090.909091,2.3303875299270143,4.797643004385025,105.69875,2.06175,3.301700019115882,2.748531453132191,3981436363.636364,0.006638626259721336,1664894.7587907314
28,2022-01-01,98.12629059822328,22838.0,1492.15,4419448275.862069,3.120363001989268,9.839679174935554,109.71750000000002,1.4772499999999995,4.797643004385025,0.3098140485775964,4114309090.909091,0.006594845544908079,1813904.5227187872
29,2022-04-01,111.78580659435642,23255.0,1197.6,4456482758.620689,3.1444593337506026,8.971560036683773,108.1925,1.5077499999999997,9.839679174935554,1.805757033846739,4419448275.862069,0.03802079021748139,2241008.224682223
30,2022-07-01,97.48374938964844,23820.0,1132.11,4493517241.379311,3.1685556655119376,8.10344089843199,106.6675,1.53825,8.971560036683773,3.301700019115882,4456482758.620689,-0.013899332376330342,2599578.9323517582
31,2022-10-01,88.68317461770678,23600.0,1007.09,4530551724.137931,3.1926519972732725,7.235321760180207,105.1425,1.56875,8.10344089843199,4.797643004385025,4493517241.379311,-0.014095246897890212,2322062.910461426
32,2023-01-01,82.03258046796245,23470.0,1064.64,4473563819.358212,3.1148178596084124,4.305212582629875,98.73875,1.72525,7.235321760180207,9.839679174935554,4530551724.137931,-0.01429676330653673,2092922.92097788
33,2023-04-01,77.76387122369582,23569.0,1120.18,4574521273.119404,3.2068678376538773,4.811753470577125,100.46625,1.6717499999999998,4.305212582629875,8.971560036683773,4473563819.358212,-0.06090543785814495,1925304.6635830787
34,2023-07-01,86.02920592777313,24385.0,1154.15,4675478726.880596,3.298917815699342,5.318294358524375,102.19375,1.61825,4.811753470577125,8.10344089843199,4574521273.119404,0.01749566406299463,1832816.6808712867
35,2023-10-01,82.85281252861023,24235.0,1129.93,4776436180.641788,3.3909677937448075,5.824835246471625,103.92125,1.56475,5.318294358524375,7.235321760180207,4675478726.880596,0.01719482910927783,2097822.186548748
36,2024-01-01,81.78573745977683,24810.0,1284.09,20170000000.0,3.62109273885847,7.09118746633975,108.24,1.431,5.824835246471625,4.305212582629875,4776436180.641788,0.016904164882881823,2007937.911630869
