date,fdi_inflow_quarterly,cpi_index_quarterly,gdp_growth_quarterly,retail_value_quarterly,unemployment_value_quarterly
2010-01-01,2054904479.0496068,5.656116816801694,6.427023294486567,,1.1571250000000002
2010-04-01,2018301493.0165355,8.023683264123331,6.424504313092069,,1.1283750000000001
2010-07-01,1981698506.9834645,10.391249711444969,6.421985331697572,,1.099625
2010-10-01,1945095520.9503934,12.758816158766605,6.419466350303074,,1.070875
2011-01-01,1773537443.3771324,22.27136810763274,6.753902969078554,,0.9884999999999999
2011-04-01,1829512481.125711,19.875610887258045,6.526746920904071,,0.9954999999999999
2011-07-01,1885487518.8742893,17.479853666883354,6.299590872729589,,1.0025
2011-10-01,1941462556.6228676,15.084096446508662,6.072434824555107,,1.0095
2012-01-01,2043286372.920922,10.032964134289445,5.486182414315717,105.76249999999999,0.9186249999999998
2012-04-01,2075762124.306974,9.407456975144436,5.498423940851172,105.7875,0.990875
2012-07-01,2108237875.693026,8.781949815999425,5.5106654673866275,105.81249999999999,1.0631249999999999
2012-10-01,2140713627.079078,8.156442656854416,5.522906993922082,105.83749999999999,1.1353749999999998
2013-01-01,2197226074.895978,7.533219868722763,5.227736193663864,105.26250000000002,1.3385
2013-04-01,2215742024.965326,6.906189795568848,5.444919271395102,105.68750000000001,1.3235000000000001
2013-07-01,2234257975.034674,6.279159722414932,5.662102349126339,106.11250000000001,1.3085
2013-10-01,2252773925.104022,5.652129649261018,5.879285426857576,106.53750000000001,1.2934999999999999
2014-01-01,2079606879.6068797,5.379562051826421,6.210401426885506,106.77499999999999,1.034
2014-04-01,2226535626.5356264,4.516223661526293,6.351629223085616,107.32499999999999,1.182
2014-07-01,2373464373.4643736,3.6528852712261664,6.492857019285725,107.87499999999999,1.33
2014-10-01,2520393120.3931203,2.789546880926039,6.634084815485835,108.425,1.4780000000000002
2015-01-01,2876859504.132231,-0.13269181901743865,7.098583823254311,110.69999999999999,1.848
2015-04-01,2925619834.710744,0.37656999711133377,7.024297478408843,110.1,1.848
2015-07-01,2974380165.289256,0.8858318132401063,6.950011133563375,109.49999999999999,1.848
2015-10-01,3023140495.8677683,1.395093629368879,6.875724788717909,108.89999999999999,1.848
2016-01-01,3015384615.3846154,2.348744900281285,6.596190883983808,105.93750000000001,1.83825
2016-04-01,3105128205.1282053,2.561747079887635,6.658736245730763,106.91250000000001,1.84475
2016-07-01,3194871794.871795,2.7747492594939853,6.721281607477717,107.8875,1.85125
2016-10-01,3284615384.6153846,2.987751439100335,6.783826969224672,108.86250000000001,1.85775
2017-01-01,3398461538.4615383,3.5129926988748963,6.743384192791266,111.75375,2.141375
2017-04-01,3482820512.820513,3.5178354917024386,6.874588313325129,111.45125,1.963125
2017-07-01,3567179487.179487,3.5226782845299813,7.005792433858991,111.14874999999999,1.784875
2017-10-01,3651538461.5384617,3.5275210773575236,7.136996554392854,110.84625,1.606625
2018-01-01,3817733990.1477833,3.8185547037653387,7.504660913731554,110.465,0.966
2018-04-01,3855911330.049261,3.6326036075393664,7.478224875062192,110.215,1.0959999999999999
2018-07-01,3894088669.950739,3.4466525113133937,7.451788836392828,109.965,1.226
2018-10-01,3932266009.8522167,3.260701415087421,7.425352797723466,109.715,1.356
2019-01-01,4060225000.0000005,2.636407165021488,9.044456260522812,111.265,1.52275
2019-04-01,4040075000.0000005,2.742684838022156,7.920993887540977,109.815,1.6282500000000002
2019-07-01,4019925000.0000005,2.8489625110228234,6.797531514559142,108.365,1.7337500000000001
2019-10-01,3999775000.0000005,2.955240184023491,5.6740691415773075,106.915,1.83925
2020-01-01,3963168756.945547,3.7407664234329228,2.9822949651132484,102.77625,1.9972500000000002
2020-04-01,3954389585.6485157,3.394211718827748,2.904373794452896,103.11875,2.06775
2020-07-01,3945610414.351485,3.0476570142225725,2.8264526237925436,103.46124999999999,2.1382499999999998
2020-10-01,3936831243.0544534,2.7011023096173976,2.748531453132191,103.80375,2.2087499999999998
2021-01-01,3715690909.090909,1.3390435662819065,0.3098140485775964,103.62124999999999,2.7082499999999996
2021-04-01,3848563636.3636365,1.6694915541636088,1.805757033846739,104.31374999999998,2.4927499999999996
2021-07-01,3981436363.6363635,1.9999395420453114,3.301700019115882,105.00625,2.2772499999999996
2021-10-01,4114309090.909091,2.3303875299270143,4.797643004385025,105.69875,2.06175
2022-01-01,4419448275.862069,3.1203630019892676,9.839679174935554,109.71750000000002,1.4772499999999997
2022-04-01,4456482758.620689,3.1444593337506026,8.971560036683773,108.19250000000001,1.5077499999999997
2022-07-01,4493517241.379311,3.1685556655119376,8.10344089843199,106.6675,1.53825
2022-10-01,4530551724.137931,3.1926519972732725,7.235321760180207,105.14250000000001,1.5687499999999999
2023-01-01,4473563819.3582115,3.1148178596084124,4.305212582629875,98.73875,1.72525
2023-04-01,4574521273.119404,3.2068678376538773,4.811753470577125,100.46625,1.6717499999999998
2023-07-01,4675478726.880596,3.298917815699342,5.318294358524375,102.19375,1.61825
2023-10-01,4776436180.641788,3.3909677937448075,5.824835246471625,103.92124999999999,1.56475
2024-01-01,20170000000.0,3.62109273885847,7.09118746633975,108.24,1.431
