date,oil_price_close,usd_vnd_close,vnindex_close
2010-03-31,,,499.2
2010-06-30,,,507.1
2010-09-30,,,454.5
2010-12-31,,,484.7
2011-03-31,,,461.1
2011-06-30,,,432.5
2011-09-30,,,427.6
2011-12-31,,,351.55
2012-03-31,,,441.03
2012-06-30,,,422.37
2012-09-30,,,392.57
2012-12-31,,,413.73
2013-03-31,,,491.04
2013-06-30,,,481.13
2013-09-30,,,492.63
2013-12-31,,,504.63
2014-03-31,,,591.57
2014-06-30,,,578.13
2014-09-30,,,598.8
2014-12-31,,,545.63
2015-03-31,55.02524579157595,21188.0,551.13
2015-06-30,63.39333276900034,21780.0,593.05
2015-09-30,51.17796874046326,22112.0,562.64
2015-12-31,44.63843756914139,22185.0,579.03
2016-03-31,35.24357141767229,21950.0,561.22
2016-06-30,47.06296867132187,21911.0,632.26
2016-09-30,46.95078104734421,21797.0,685.73
2016-12-31,51.07295095725138,22468.0,664.87
2017-03-31,54.49645165474184,22435.0,722.31
2017-06-30,50.763968331473215,22338.0,776.47
2017-09-30,52.21285726153661,22523.0,804.42
2017-12-31,61.42714285472083,22343.0,984.24
2018-03-31,67.22672102881259,22759.0,1174.46
2018-06-30,75.00734388828278,22906.0,960.78
2018-09-30,75.79301573738219,23292.5,1017.13
2018-12-31,68.84603227887835,23194.0,892.54
2019-03-31,63.793278803590866,23198.0,980.76
2019-06-30,68.44158766004774,23275.0,949.94
2019-09-30,62.063281297683716,23207.0,996.56
2019-12-31,62.39406198263168,23171.0,960.99
2020-03-31,50.47612910116872,23631.0,662.53
2020-06-30,33.35523820301843,23264.0,825.11
2020-09-30,43.37406253814697,23181.0,905.21
2020-12-31,45.22046887874603,23088.0,1103.87
2021-03-31,61.39606544619701,23074.0,1191.44
2021-06-30,69.08015865749783,23014.0,1408.55
2021-09-30,73.18218719959259,22750.0,1342.06
2021-12-31,79.67953097820282,22765.0,1498.28
2022-03-31,98.12629059822329,22838.0,1492.15
2022-06-30,111.78580659435642,23255.0,1197.6
2022-09-30,97.48374938964844,23820.0,1132.11
2022-12-31,88.68317461770678,23600.0,1007.09
2023-03-31,82.03258046796245,23470.0,1064.64
2023-06-30,77.76387122369582,23569.0,1120.18
2023-09-30,86.02920592777313,24385.0,1154.15
2023-12-31,82.85281252861023,24235.0,1129.93
2024-03-31,81.78573745977683,24810.0,1284.09
2024-06-30,85.05904763842386,25445.0,1245.32
2024-09-30,78.5907815694809,24555.0,1287.94
2024-12-31,74.02359402179718,25476.0,1266.78
