date,usd_vnd_close
2015-01-01,21375.0
2015-01-02,21063.0
2015-01-05,21046.0
2015-01-06,21097.0
2015-01-07,21083.0
2015-01-08,21061.0
2015-01-09,21021.0
2015-01-12,21020.0
2015-01-13,21005.0
2015-01-14,20991.0
2015-01-15,21007.0
2015-01-16,20988.0
2015-01-19,20993.0
2015-01-20,21004.0
2015-01-21,21036.0
2015-01-22,21009.0
2015-01-23,20922.0
2015-01-26,20982.0
2015-01-27,20981.0
2015-01-28,20988.0
2015-01-29,20996.0
2015-01-30,21074.0
2015-02-02,20991.0
2015-02-03,20973.0
2015-02-04,21058.0
2015-02-05,20979.0
2015-02-06,20978.0
2015-02-09,20961.0
2015-02-10,20970.0
2015-02-11,20968.0
2015-02-12,20943.0
2015-02-13,20986.0
2015-02-16,20979.0
2015-02-17,21300.0
2015-02-18,20972.0
2015-02-19,20987.0
2015-02-20,20957.0
2015-02-23,20975.0
2015-02-24,20978.0
2015-02-25,21011.0
2015-02-26,21018.0
2015-02-27,20984.0
2015-03-02,20989.0
2015-03-03,20987.0
2015-03-04,21004.0
2015-03-05,20994.0
2015-03-06,20968.0
2015-03-09,20982.0
2015-03-10,20978.0
2015-03-11,20974.0
2015-03-12,20996.0
2015-03-13,21003.0
2015-03-16,21089.0
2015-03-17,21066.0
2015-03-18,21113.0
2015-03-19,21142.0
2015-03-20,21078.0
2015-03-23,21149.0
2015-03-24,21168.0
2015-03-25,21475.0
2015-03-26,21144.0
2015-03-27,21154.0
2015-03-29,21161.0
2015-03-30,21186.0
2015-03-31,21188.0
2015-04-01,21115.0
2015-04-02,21575.0
2015-04-05,21565.0
2015-04-06,21229.0
2015-04-07,21241.0
2015-04-08,21220.0
2015-04-09,21217.0
2015-04-12,21221.0
2015-04-13,21228.0
2015-04-14,21217.0
2015-04-15,21121.0
2015-04-16,21234.0
2015-04-19,21196.0
2015-04-20,21555.0
2015-04-21,21555.0
2015-04-22,21550.0
2015-04-23,21565.0
2015-04-26,21570.0
2015-04-27,21575.0
2015-04-28,21575.0
2015-04-29,21575.0
2015-04-30,21575.0
2015-05-03,21595.0
2015-05-04,21610.0
2015-05-05,21620.0
2015-05-06,21645.0
2015-05-07,21650.0
2015-05-10,21660.0
2015-05-11,21680.0
2015-05-12,21700.0
2015-05-13,21735.0
2015-05-14,21700.0
2015-05-17,21765.0
2015-05-18,21770.0
2015-05-19,21790.0
2015-05-20,21785.0
2015-05-21,21770.0
2015-05-24,21795.0
2015-05-25,21800.0
2015-05-26,21780.0
2015-05-27,21785.0
2015-05-28,21785.0
2015-05-31,21790.0
2015-06-01,21790.0
2015-06-02,21790.0
2015-06-03,21790.0
2015-06-04,21785.0
2015-06-07,21790.0
2015-06-08,21790.0
2015-06-09,21775.0
2015-06-10,21770.0
2015-06-11,21770.0
2015-06-14,21775.0
2015-06-15,21775.0
2015-06-16,21785.0
2015-06-17,21785.0
2015-06-18,21780.0
2015-06-21,21780.0
2015-06-22,21780.0
2015-06-23,21790.0
2015-06-24,21780.0
2015-06-25,21790.0
2015-06-28,21790.0
2015-06-29,21785.0
2015-06-30,21780.0
2015-07-01,21780.0
2015-07-02,21780.0
2015-07-05,21785.0
2015-07-06,21474.0
2015-07-07,21443.0
2015-07-08,21440.0
2015-07-09,21428.0
2015-07-12,21420.0
2015-07-13,21431.0
2015-07-14,21445.0
2015-07-15,21436.0
2015-07-16,21443.0
2015-07-19,21424.0
2015-07-20,21449.0
2015-07-21,21456.0
2015-07-22,21453.0
2015-07-23,21457.0
2015-07-26,21443.0
2015-07-27,21450.0
2015-07-28,21476.0
2015-07-29,21449.0
2015-07-30,21465.0
2015-08-02,21451.0
2015-08-03,21445.0
2015-08-04,21371.0
2015-08-05,21452.0
2015-08-06,21445.0
2015-08-09,21444.0
2015-08-10,21469.0
2015-08-11,21663.0
2015-08-12,21722.0
2015-08-13,21859.0
2015-08-16,21740.0
2015-08-17,21734.0
2015-08-18,21858.0
2015-08-19,22051.0
2015-08-20,22155.0
2015-08-23,22184.0
2015-08-24,22175.0
2015-08-25,22192.0
2015-08-26,22123.0
2015-08-27,22107.0
2015-08-30,22129.0
2015-08-31,22146.0
2015-09-01,22150.0
2015-09-02,22332.0
2015-09-03,22115.0
2015-09-06,22111.0
2015-09-07,22113.0
2015-09-08,22117.0
2015-09-09,22128.0
2015-09-10,22123.0
2015-09-13,22146.0
2015-09-14,22147.0
2015-09-15,22150.0
2015-09-16,22152.0
2015-09-17,22116.0
2015-09-20,22118.0
2015-09-21,22112.0
2015-09-22,22123.0
2015-09-23,22125.0
2015-09-24,22145.0
2015-09-27,22122.0
2015-09-28,22135.0
2015-09-29,22105.0
2015-09-30,22112.0
2015-10-01,22123.0
2015-10-04,22118.0
2015-10-05,21996.0
2015-10-06,22048.0
2015-10-07,21855.0
2015-10-08,21871.0
2015-10-11,21996.0
2015-10-12,22048.0
2015-10-13,22033.0
2015-10-14,21980.0
2015-10-15,21907.0
2015-10-18,21948.0
2015-10-19,21987.0
2015-10-20,21964.0
2015-10-21,22393.0
2015-10-22,21963.0
2015-10-26,21969.0
2015-10-27,21961.0
2015-10-28,21970.0
2015-10-29,21973.0
2015-10-30,21961.0
2015-11-02,21948.0
2015-11-03,21948.0
2015-11-04,21933.0
2015-11-05,21968.0
2015-11-06,21991.0
2015-11-09,22112.0
2015-11-10,22031.0
2015-11-11,21955.0
2015-11-12,21832.0
2015-11-13,22048.0
2015-11-16,22081.0
2015-11-17,22141.0
2015-11-18,22076.0
2015-11-19,22100.0
2015-11-20,22167.0
2015-11-23,22088.0
2015-11-24,22112.0
2015-11-25,22060.0
2015-11-26,22130.0
2015-11-27,22080.0
2015-11-30,22121.0
2015-12-01,22052.0
2015-12-02,22098.0
2015-12-03,21343.0
2015-12-04,22124.0
2015-12-07,22049.0
2015-12-08,22025.0
2015-12-09,21917.0
2015-12-10,22055.0
2015-12-11,22091.0
2015-12-14,22112.0
2015-12-15,22343.0
2015-12-16,22197.0
2015-12-17,22197.0
2015-12-18,22108.0
2015-12-21,22078.0
2015-12-22,22157.0
2015-12-23,22212.0
2015-12-24,22132.0
2015-12-25,22106.0
2015-12-28,22152.0
2015-12-29,22213.0
2015-12-30,22095.0
2015-12-31,22185.0
2016-01-01,22180.0
2016-01-04,22320.0
2016-01-05,22141.0
2016-01-06,22034.0
2016-01-07,22014.0
2016-01-08,22002.0
2016-01-11,22162.0
2016-01-12,22058.0
2016-01-13,21937.0
2016-01-14,22083.0
2016-01-15,22027.0
2016-01-18,22038.0
2016-01-19,21961.0
2016-01-20,22090.0
2016-01-21,22112.0
2016-01-22,22094.0
2016-01-25,21945.0
2016-01-26,21878.0
2016-01-27,21889.0
2016-01-28,21833.0
2016-01-29,22032.0
2016-02-01,21874.0
2016-02-02,21928.0
2016-02-03,21611.0
2016-02-04,21920.0
2016-02-05,21949.0
2016-02-08,21923.0
2016-02-09,21771.0
2016-02-10,21926.0
2016-02-11,21968.0
2016-02-12,21963.0
2016-02-15,22007.0
2016-02-16,22007.0
2016-02-17,22084.0
2016-02-18,21995.0
2016-02-19,21942.0
2016-02-22,22036.0
2016-02-23,22011.0
2016-02-24,21897.0
2016-02-25,21965.0
2016-02-26,22140.0
2016-02-29,21941.0
2016-03-01,21951.0
2016-03-02,21947.0
2016-03-03,21787.0
2016-03-04,21883.0
2016-03-07,21919.0
2016-03-08,21949.0
2016-03-09,21933.0
2016-03-10,21923.0
2016-03-11,21844.0
2016-03-14,21944.0
2016-03-15,21915.0
2016-03-16,21699.0
2016-03-17,21957.0
2016-03-18,21950.0
2016-03-21,21944.0
2016-03-22,21939.0
2016-03-23,22027.0
2016-03-24,21971.0
2016-03-25,22270.0
2016-03-27,22270.0
2016-03-28,21933.0
2016-03-29,21919.0
2016-03-30,21934.0
2016-03-31,21950.0
2016-04-03,21940.0
2016-04-04,21947.0
2016-04-05,21858.0
2016-04-06,21946.0
2016-04-07,21947.0
2016-04-10,21942.0
2016-04-11,21955.0
2016-04-12,21943.0
2016-04-13,21948.0
2016-04-14,21933.0
2016-04-17,21978.0
2016-04-18,21946.0
2016-04-19,21939.0
2016-04-20,21974.0
2016-04-21,21920.0
2016-04-24,21941.0
2016-04-25,21942.0
2016-04-26,21914.0
2016-04-27,21953.0
2016-04-28,21937.0
2016-05-01,21947.0
2016-05-02,22091.0
2016-05-03,22255.0
2016-05-04,21976.0
2016-05-05,21936.0
2016-05-08,21949.0
2016-05-09,21933.0
2016-05-10,21934.0
2016-05-11,21941.0
2016-05-12,21955.0
2016-05-15,22031.0
2016-05-16,21951.0
2016-05-17,21934.0
2016-05-18,21953.0
2016-05-19,21963.0
2016-05-22,21956.0
2016-05-23,21970.0
2016-05-24,21994.0
2016-05-25,22022.0
2016-05-26,22032.0
2016-05-29,22057.0
2016-05-30,22020.0
2016-05-31,22081.0
2016-06-01,22178.0
2016-06-02,22051.0
2016-06-05,22013.0
2016-06-06,21992.0
2016-06-07,21964.0
2016-06-08,22000.0
2016-06-09,21969.0
2016-06-12,21957.0
2016-06-13,21940.0
2016-06-14,21882.0
2016-06-15,22000.0
2016-06-16,21918.0
2016-06-19,21971.0
2016-06-20,22090.0
2016-06-21,21840.0
2016-06-22,21984.0
2016-06-23,21830.0
2016-06-26,21970.0
2016-06-27,21991.0
2016-06-28,21885.0
2016-06-29,22028.0
2016-06-30,21911.0
2016-07-03,21891.0
2016-07-04,22114.0
2016-07-05,21882.0
2016-07-06,21974.0
2016-07-07,21965.0
2016-07-10,21913.0
2016-07-11,22000.0
2016-07-12,21922.0
2016-07-13,21914.0
2016-07-14,22152.0
2016-07-17,21885.0
2016-07-18,22018.0
2016-07-19,21933.0
2016-07-20,21923.0
2016-07-21,22023.0
2016-07-24,21931.0
2016-07-25,21974.0
2016-07-26,21821.0
2016-07-27,21957.0
2016-07-28,21816.0
2016-07-31,21943.0
2016-08-01,21895.0
2016-08-02,22044.0
2016-08-03,21942.0
2016-08-04,22058.0
2016-08-07,21934.0
2016-08-08,21882.0
2016-08-09,21924.0
2016-08-10,21964.0
2016-08-11,21922.0
2016-08-14,21913.0
2016-08-15,21951.0
2016-08-16,21940.0
2016-08-17,21896.0
2016-08-18,21949.0
2016-08-21,21891.0
2016-08-22,22008.0
2016-08-23,21977.0
2016-08-24,21960.0
2016-08-25,22134.0
2016-08-28,21934.0
2016-08-29,21989.0
2016-08-30,21917.0
2016-08-31,21852.0
2016-09-01,21991.0
2016-09-04,21973.0
2016-09-05,21779.0
